KodProduktu;Prognoza_M1;Prognoza_M2;Prognoza_M3
'2030;0,7;0,7;0,67
'2033;0;0;0
'2039.01;0,01;0,41;0,79
'2054;0,01;0,12;0
'2063.02;0;0;0
'3002;0;0;0
'3003;0;0;0
'3003.02;0;0;0
'3003.03;0;0;0
'3004;0;0;0
'3004.011;0;0;0
'3005.02;0;0;0
'3005.03;0;0;0
'3006;0;0;0
'3006.03;0;0;0
'3007;0;0;0
'3007.04;0;0;0
'3008;0;0;0
'3008.05;0;0;0
'3008.06;0;0;0
'3008.07;0;0;0
'3009.01;0,68;8,06;28,19
'3009.011;0;0;0
'3009.012;0;0;0
'3009.013;5,05;22,51;6,7
'3009.015;0;0;0
'3009.016;0;0;0
'3009.03;0;0;0
'3009.032;0;0;0
'3009.033;0;0;0
'3009.035;0;0;0
'3009.036;0;0;0
'3009.04;0;0;0
'3009.041;0;0;0
'3009.06;0;0;0
'3009.062;0;0;0
'3009.064;0;0;0
'3009.0641;0;0;0
'3009.0642;0;0;0
'3009.065;0;0;0
'3009.066;0;0;0
'3009.067;0;0;0
'3009.068;0;0;0
'3009.08;0;0;0
'3009.081;0;0;0
'3009.09;0;0;0
'3009.10;0;0;0
'3009.11;0;0;0
'3009.13;0;0;0
'3009.14;0;0;0
'3009.15;0,01;0,12;0,12
'3010;0;0;0
'3010.01;0;0;0
'3010.011;0;0;0
'3010.02;0;0;0
'3010.04;0;0;0
'3010.05;0;0;0
'3010.07;0;0;0
'3010.08;0;0;0
'3011.01;0;0;0
'3011.06;0;0;0
'3011.061;0;0;0
'3011.07;0;0;0
'3011.08;0;0;0
'3012;124,98;252,82;233,73
'3012.01;0,01;0,12;0,12
'3015;0;0;0
'3016;0;0;0
'3016.03;0;0;0
'3017.02;0;0;0
'3017.06;0;0;0
'3018.01;0;0;0
